[START OF SIMULATION]
[0x00000000]	call r0,r0,0x00BA   R0=(PC+4)>>2=0x00000000,PC=(R0+0x00BA)<<2=0x000002E8
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x6F
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x6F
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x0000049F
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x72
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x72
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004A0
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x79
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x79
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004A1
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x20
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x20
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004A2
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x69
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x69
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004A3
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x6E
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x6E
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004A4
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x76
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x76
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004A5
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x65
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x65
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004A6
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x72
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x72
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004A7
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x73
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x73
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004A8
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x69
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x69
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004A9
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x6F
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x6F
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004AA
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x6E
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x6E
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004AB
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x73
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x73
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004AC
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x0A
[0x0000017C]	cmpi r2,0           FR=0x00000004
[0x00000180]	beq 0x00000064      PC=0x00000184
[0x00000184]	stb r3,0x0000,r2    MEM[R3+0x0000]=R2=0x0A
[0x00000188]	addi r1,r1,1        FR=0x00000004,R1=R1+0x0001=0x000004AD
[0x0000018C]	bun 0x0000005E      PC=0x00000178
[0x00000178]	ldb r2,r1,0x0000    R2=MEM[R1+0x0000]=0x00
[0x0000017C]	cmpi r2,0           FR=0x00000001
[0x00000180]	beq 0x00000064      PC=0x00000190
[0x00000190]	pop r3,r28          R3=MEM[R28->0x00002CB0]=0x0000001C
[0x00000194]	pop r2,r28          R2=MEM[R28->0x00002CB4]=0x0000001C
[0x00000198]	pop r1,r28          R1=MEM[R28->0x00002CB8]=0x0000001C
[0x0000019C]	pop r31,r28         R31=MEM[R28->0x00002CBC]=0x0000001C
[0x000001A0]	pop fr,r28          FR=MEM[R28->0x00002CC0]=0x0000001C
[0x000001A4]	ret r31             PC=R31<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002CC4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002CC8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002CCC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002CD0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002CD4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002CD8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002CDC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002CE0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002CE4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002CE8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002CEC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002CF0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002CF4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002CF8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002CFC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002D00]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002D04]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002D08]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002D0C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002D10]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002D14]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002D18]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002D1C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002D20]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002D24]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002D28]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002D2C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002D30]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002D34]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002D38]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002D3C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002D40]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002D44]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002D48]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002D4C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002D50]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002D54]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002D58]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002D5C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002D60]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002D64]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002D68]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002D6C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002D70]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002D74]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002D78]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002D7C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002D80]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002D84]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002D88]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002D8C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002D90]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002D94]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002D98]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002D9C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002DA0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002DA4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002DA8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002DAC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002DB0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002DB4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002DB8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002DBC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002DC0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002DC4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002DC8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002DCC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002DD0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002DD4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002DD8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002DDC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002DE0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002DE4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002DE8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002DEC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002DF0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002DF4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002DF8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002DFC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002E00]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002E04]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002E08]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002E0C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002E10]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002E14]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002E18]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002E1C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002E20]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002E24]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002E28]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002E2C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002E30]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002E34]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002E38]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002E3C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002E40]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002E44]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002E48]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002E4C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002E50]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002E54]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002E58]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002E5C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002E60]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002E64]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002E68]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002E6C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002E70]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002E74]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002E78]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002E7C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002E80]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002E84]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002E88]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002E8C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002E90]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002E94]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002E98]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002E9C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002EA0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002EA4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002EA8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002EAC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002EB0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002EB4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002EB8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002EBC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002EC0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002EC4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002EC8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002ECC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002ED0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002ED4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002ED8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002EDC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002EE0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002EE4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002EE8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002EEC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00002EF0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00002EF4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00002EF8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00002EFC]=0x0000001C
